objectid;type;address;polygonid;scale;angle;globalid;geo_shape;geo_point_2d
531;public;600;0;1.0;0.0;{4AB0AB5B-D5DC-4E64-AC08-4F4250A6B8E8};"{""type"": ""Point"", ""coordinates"": [-79.01282068031945, 35.932400391764276]}";"35.9324003918; -79.0128206803"
600;public;506;0;1.0;0.0;{14338449-8BA8-4727-BF71-EF6B91BDEFEF};"{""type"": ""Point"", ""coordinates"": [-79.04767544088403, 35.91719746226101]}";"35.9171974623; -79.0476754409"
599;public;;0;1.0;0.0;{0C1B5824-2312-4731-AC0C-08FD03AD05E7};"{""type"": ""Point"", ""coordinates"": [-79.04484886641116, 35.918561612850056]}";"35.9185616129; -79.0448488664"
609;public;;0;1.0;0.0;{2290395D-ED64-4DEC-AD4E-211B3B01DD5E};"{""type"": ""Point"", ""coordinates"": [-79.05764648471904, 35.90696895487386]}";"35.9069689549; -79.0576464847"
610;public;;0;1.0;0.0;{5053CF28-FD73-4B32-B7BA-23FD2B637B17};"{""type"": ""Point"", ""coordinates"": [-79.05468870290632, 35.90717027072757]}";"35.9071702707; -79.0546887029"
612;public;;0;1.0;0.0;{BB02EBBF-0B34-4069-84B4-5C7AE8C7A3D3};"{""type"": ""Point"", ""coordinates"": [-79.05829519583301, 35.91230605279789]}";"35.9123060528; -79.0582951958"
608;public;;0;1.0;0.0;{5CC3ED6C-8CC7-4312-879B-D6B67B719805};"{""type"": ""Point"", ""coordinates"": [-79.0585432655993, 35.90810858636759]}";"35.9081085864; -79.0585432656"
566;public;;0;1.0;0.0;{48AB0287-AAF9-4BEA-B925-EDDF9D29DFEE};"{""type"": ""Point"", ""coordinates"": [-79.05534951328897, 35.95177147683096]}";"35.9517714768; -79.0553495133"
542;public;;0;1.0;0.0;{1336AA1D-E638-490A-BF28-175FA6E13A9A};"{""type"": ""Point"", ""coordinates"": [-79.02881906940245, 35.915010125683686]}";"35.9150101257; -79.0288190694"
544;public;;0;1.0;0.0;{A30B9DB6-E217-4EBD-901D-FD80B3B5FC49};"{""type"": ""Point"", ""coordinates"": [-79.01515792490494, 35.91585881457309]}";"35.9158588146; -79.0151579249"
524;public;;0;1.0;0.0;{BAFD0D9E-1BA7-46F1-8057-2F5FB4B25F06};"{""type"": ""Point"", ""coordinates"": [-79.02208773425309, 35.93221945450313]}";"35.9322194545; -79.0220877343"
576;public;;0;1.0;0.0;{CCB85D29-51D6-497F-B20C-DAE817A1D500};"{""type"": ""Point"", ""coordinates"": [-79.05531791374216, 35.92078587678495]}";"35.9207858768; -79.0553179137"
580;public;;0;1.0;0.0;{DB634851-2F6C-4DFB-A65C-5163045CCF25};"{""type"": ""Point"", ""coordinates"": [-79.05030090493015, 35.922640530390986]}";"35.9226405304; -79.0503009049"
588;public;;0;1.0;0.0;{D34BD210-7395-4861-AFF1-6F5B0036070F};"{""type"": ""Point"", ""coordinates"": [-79.06104080926642, 35.92014310407443]}";"35.9201431041; -79.0610408093"
